grid_x,grid_y,grid_z,batch_size,average_main_time,tile_x
1000,1000,1,1,13335.7,512
2500,2500,1,1,82664.5,512
5000,5000,1,1,334691.2,512
10000,10000,1,1,1333183.3333333333,512
15000,15000,1,1,3010530.0,512
20000,20000,1,1,5346380.0,512
1000,1000,1,1,10688.9,1024
2500,2500,1,1,69144.5,1024
5000,5000,1,1,283617.2,1024
10000,10000,1,1,1130873.3333333333,1024
15000,15000,1,1,2527200.0,1024
20000,20000,1,1,4509540.0,1024
1000,1000,1,1,10692.4,2048
2500,2500,1,1,67454.7,2048
5000,5000,1,1,264582.2,2048
10000,10000,1,1,1064736.6666666667,2048
15000,15000,1,1,2371080.0,2048
20000,20000,1,1,4235160.0,2048
1000,1000,1,1,10716.5,4096
2500,2500,1,1,65733.0,4096
5000,5000,1,1,270852.6,4096
10000,10000,1,1,1069146.6666666667,4096
15000,15000,1,1,2411050.0,4096
20000,20000,1,1,4320040.0,4096
1000,1000,1,1,10692.4,8192
2500,2500,1,1,65734.1,8192
5000,5000,1,1,269483.4,8192
10000,10000,1,1,1083580.0,8192
15000,15000,1,1,2445965.0,8192
20000,20000,1,1,4342270.0,8192
