iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60060,1,100x1,  5462.13,100,5,5.497855232,1000,32.74140320000001,6425,0.21036351556000005,0.00021036351556000005,2.1036351556000006
60060,1,150x1,5466.41,150,5,8.240325918,1000,32.15447269565217,6172,0.19845740547756519,0.00019845740547756518,1.9845740547756519
60060,1,200x1,5465.14,200,5,10.98965443,1000,32.559659875,6291,0.20483282027362504,0.00020483282027362505,2.0483282027362506
60060,1,500x1,5586.98,500,5,26.87498434,1000,33.30043307692308,6544,0.2179180340553846,0.0002179180340553846,2.179180340553846
60060,1,1000x1,6282.16,1000,5,47.80202988,1000,34.70097585714286,7108,0.24665453639257143,0.00024665453639257143,2.4665453639257144
60060,1,2000x1,6781.34,2000,5,88.56656649,1000,34.404600517241384,7428,0.255557372642069,0.000255557372642069,2.55557372642069
60060,1,5000x1,8228.37,5000,5,182.4784253,1000,36.6453924,8996,0.3296619500304,0.00032966195003039997,3.2966195003039998
60060,1,10000x1,10247,10000,5,293.0613838,1000,39.49579097674418,10963,0.4329923564780464,0.0004329923564780464,4.329923564780464
60060,1,20000x1,14409.68,20000,5,416.803149,500,42.4491176875,8096,0.343668056798,0.000687336113596,6.87336113596
60060,1,30000x1,20704.45,30000,5,435.1238502,200,41.898748684210524,4836,0.20262234863684211,0.0010131117431842105,10.131117431842105
60060,10,100x1,  651.21,100,5,46.11415672,1000,37.564157333333334,1513,0.05683457004533333,5.683457004533333e-05,0.5683457004533333
60060,10,150x1,662.05,150,5,68.03866777,1000,34.848812,1519,0.052935345428,5.2935345428e-05,0.52935345428
60060,10,200x1,695.51,200,5,86.35389858,1000,36.1605355,1413,0.051094836661500005,5.1094836661500005e-05,0.5109483666150001
60060,10,500x1,775.33,500,5,193.659474,1000,38.561658333333334,1480,0.057071254333333335,5.7071254333333334e-05,0.5707125433333333
