grid_x,grid_y,grid_z,batch_size,average_main_time,tile_x
1000,1000,1,1,11897.9,512
2500,2500,1,1,74386.8,512
5000,5000,1,1,295303.0,512
10000,10000,1,1,1186703.3333333333,512
15000,15000,1,1,2652085.0,512
20000,20000,1,1,4764160.0,512
1000,1000,1,1,9997.0,1024
2500,2500,1,1,66167.7,1024
5000,5000,1,1,276842.8,1024
10000,10000,1,1,1094170.0,1024
15000,15000,1,1,2407135.0,1024
20000,20000,1,1,4366860.0,1024
1000,1000,1,1,10024.1,2048
2500,2500,1,1,63046.4,2048
5000,5000,1,1,251320.8,2048
10000,10000,1,1,1014656.6666666666,2048
15000,15000,1,1,2245250.0,2048
20000,20000,1,1,4025230.0,2048
1000,1000,1,1,10050.8,4096
2500,2500,1,1,60220.4,4096
5000,5000,1,1,249007.6,4096
10000,10000,1,1,985429.6666666666,4096
15000,15000,1,1,2205445.0,4096
20000,20000,1,1,3952030.0,4096
1000,1000,1,1,10001.7,8192
2500,2500,1,1,60234.7,8192
5000,5000,1,1,240984.4,8192
10000,10000,1,1,977388.0,8192
15000,15000,1,1,2189675.0,8192
20000,20000,1,1,3905110.0,8192
