Timestamp,Power (W)
1785091485056,40.608522
1785091485387,40.608522
1785091485562,40.608522
1785091485734,40.608522
1785091485909,40.608522
1785091486076,35.135555
1785091486238,35.135555
1785091486414,35.135555
1785091486572,35.135555
1785091486728,35.135555
1785091486887,35.135555
1785091487044,36.033362
1785091487201,36.033362
1785091487373,36.033362
1785091487541,36.033362
1785091487694,36.033362
1785091487859,36.033362
1785091488026,36.033362
1785091488196,36.019714
1785091488358,36.019714
1785091488522,36.019714
1785091488684,36.019714
1785091488858,36.019714
1785091489019,36.019714
1785091489177,35.995695
1785091489322,35.995695
1785091489472,35.995695
1785091489627,35.995695
1785091489789,35.995695
1785091489940,35.995695
1785091490092,35.995695
1785091490235,35.896960
1785091490389,35.896960
1785091490539,35.896960
1785091490695,35.896960
1785091490843,35.896960
1785091490989,35.896960
1785091491137,35.896960
1785091491285,36.018217
1785091491438,36.018217
1785091491587,36.018217
1785091491745,36.018217
1785091492030,36.018217
Command: /home/x_thileeb/repos/ops-hls-batching-new/codegen_apps/batching/blackscholes/u280_datacopy_project/hls/build/hw/blackscholes_host /home/x_thileeb/repos/ops-hls-batching-new/codegen_apps/batching/blackscholes/u280_datacopy_project/hls/build/hw/blackscholes.xclbin -sizex=100 -iters=60060 -piter=10000 -bsize=10
